Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WARB,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WARP,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,WinP
2002,ANA,162,2307,6327,152,851,811,117,0.073020388,0.127232495,0.150228954,0.303239289,0.282317717,0.340713603,0.432546671,0.335925561,,104.79277060695928,12.47376735729631,49.43982293677157,28.543201502412558,29.275232160341865,162,98,64,40,584,162,1446.2,8.106218001453232,2.6191233911065317,1.0576032695679582,0.2891478514202476,0.7272,0.435823754,0.114787305,,3.925574488808127,,3.6733597442304182,3.5708534117566226,26.359561119694263,P,2107,1458,13020,4341,1498,89,55,33,274,119,85,117,26,77,43,13,48,0.9849865,0.604938272
2002,ARI,162,2331,6318,165,819,783,92,0.101772712,0.160810383,0.156136529,0.298173515,0.267066085,0.346018548,0.423202614,0.3354420390550054,,97.11701311,1.765809153468581,-21.04000622,38.55543878581375,22.31456853985363,161,101,59,57,630,161,1467.1,6.489324095811504,3.398001464158387,0.7544299279629632,0.27078548461185115,0.7724,0.456906458,0.084944751,,3.134257668203855,,3.8282670268466545,4.112297957078181,19.83888733945787,P,2107,1449,13206,4402,1815,113,65,46,437,167,131,169,25,96,55,12,40,0.9821485,0.63125
2002,ATL,161,2319,6224,164,708,669,76,0.089652956,0.165167095,0.149590537,0.290441176,0.259872611,0.331384015,0.409463148,0.32240456587459976,,93.62668655403884,-7.864046693,-57.79239259,66.38324446,21.115419382780892,162,67,95,31,569,162,1450.2,5.999308559546281,3.406019027084704,1.2904407242871008,0.2863839285714286,0.7327,0.454722703,0.132484076,,4.4607061575116616,,4.739872388011917,4.382522873112817,8.824108295841143,P,2004,1458,13056,4352,1717,90,49,41,407,173,123,173,20,103,44,22,54,0.98538724,0.413580247
2002,BAL,162,2217,6096,165,667,636,110,0.074146981,0.1628937,0.156619923,0.271109082,0.246403205,0.30861955,0.403023128,0.31050090772203104,,89.89380815190495,-1.205966832,-77.45896662,4.006947250105441,13.334707371995819,162,93,69,51,500,162,1446,7.201243768408665,2.676348159391293,0.9087135610956484,0.2818998109640832,0.7206,0.452204176,0.097074468,,3.7531114886347665,,3.740769450849884,3.8761261817710366,22.61492646392435,LF,1951,1458,13014,4335,1632,104,58,45,332,143,102,140,19,118,50,20,31,0.98286938,0.574074074
2002,BOS,162,2172,6332,177,859,810,80,0.086070751,0.149084017,0.167553192,0.302493438,0.276595744,0.345007923,0.444148936,0.34283878474006657,,107.07964474394478,-0.360458826,54.53394573,-22.75499538,24.667782545435944,162,67,95,23,552,162,1441.1,8.323539238,3.783994582377607,1.0427839855727068,0.2961689587426326,0.7087,0.421527947,0.113682777,,4.302264467422725,,4.000690877399497,3.9132733784587757,17.52669007703662,P,2097,1458,12972,4325,1494,115,63,51,332,146,108,146,3,112,54,15,44,0.98062016,0.413580247
2002,CHC,162,2294,6242,200,706,676,63,0.093719961,0.203300224,0.166848617,0.283079193,0.245815138,0.321219987,0.412663755,0.31950642070025986,,93.34082578787927,-6.983841295,-59.21577468,26.52406631410122,17.04216090374019,162,81,81,35,585,162,1423,5.976810382,3.339424213670386,1.2016867435556313,0.279491833,0.695,0.420689655,0.113230035,,4.572734292582744,,4.609294103841069,4.515093195,14.011597248259932,3B,2018,1458,12807,4269,1586,98,50,46,390,160,123,159,16,99,38,9,54,0.98353771,0.5
2002,CHW,162,2208,6208,217,856,819,75,0.089400773,0.153350515,0.181388586,0.286821705,0.268084332,0.337554797,0.449472918,0.34202581842999163,,105.43981893345037,-1.208014769,40.08583996790257,-28.85676502,22.19022784286168,162,78,84,42,624,162,1453.2,6.067415542174935,3.405182192036953,1.0710845804043507,0.29292484020277715,0.715,0.458424507,0.114797611,,4.290529561966561,,4.411507859445783,4.307565310177077,11.315049014054239,P,2154,1458,13083,4360,1764,120,74,46,392,177,120,173,19,67,42,28,52,0.98078155,0.481481481
2002,CIN,162,2353,6254,169,709,678,116,0.093220338,0.189958426,0.154661791,0.293041175,0.253382084,0.33041078,0.408043875,0.3220458935090871,,90.51657794200767,1.1779191883397289,-73.94549112,36.414415784180164,16.596857468216385,162,74,88,34,583,162,1424.2,6.683674221344021,3.809315269820836,0.8970526837720708,0.3096803445930628,0.6759,0.453994614,0.097193702,,4.908520671,,4.1623514621251525,4.294217748980567,15.317017593682976,CF,2036,1458,12822,4273,1654,112,58,53,379,165,125,163,23,126,59,15,52,0.98145388,0.456790123
2002,CLE,162,2236,6099,192,739,706,52,0.088867027,0.163961305,0.162825005,0.270960187,0.248755301,0.321287128,0.411580306,0.32016375881013037,,94.54361494027663,-12.30760826,-53.63915277,-51.44378549,10.179051006454968,162,73,89,43,668,162,1426.2,5.803741571438378,3.671497385,1.4193933191017771,0.29183135704874835,0.6907,0.435601198,0.138888888,,5.2107505847914135,,5.080996123701363,4.611516914323766,6.507668668986298,1B,2180,1458,12840,4278,1689,112,69,41,379,157,117,159,21,87,23,12,42,0.98157592,0.450617284
2002,COL,162,2393,6165,152,778,726,103,0.080616382,0.169180859,0.148947751,0.310510648,0.273584905,0.337040065,0.422532656,0.3310245200832194,,82.1549426,-0.358019317,-138.4243749,26.07764697,8.81915567,161,55,106,33,533,161,1414,5.053745529446955,2.946957405710252,1.0374817648612766,0.3021339530952884,0.6636,0.423429047,0.092930444,,4.939176990996017,,4.451460702010637,4.679715248659889,11.16829048562795,P,1913,1449,12726,4241,1708,142,79,60,334,149,98,148,20,72,34,23,59,0.97668692,0.341614907
