Season,Team,TG,W,L,P_ERA,P_G,P_GS,P_QS,P_CG,P_ShO,P_SV,P_HLD,P_BS,P_IP,P_TBF,P_H,P_R,P_ER,P_HR,P_BB,P_IBB,P_HBP,P_WP,P_BK,P_SO,B_G,B_AB,B_PA,B_H,B_1B,B_2B,B_3B,B_HR,B_R,B_RBI,B_BB,B_IBB,B_SO,B_HBP,B_SF,B_SH,B_GDP,B_SB,B_CS,B_AVG,F_Pos,F_Inn,F_rSZ,F_rCERA,F_rSB,F_rGDP,F_rARM,F_rGFP,F_rPM,F_rTS,F_DRS,F_ARM,F_DPR,F_RngR,F_ErrR,F_UZR,F_UZR/150,F_FRM,F_OAA,F_RAA,F_Def,WinP,x
2002,LAA,162,99,63,3.6871727582573204,562,162,94,7,2,54,66,17,1452.1,6097,1345,644,595,169,509,24,49,52,7,999,2307,5678,6327,1603,1086,333,32,152,851,811,462,42,805,74,64,49,105,117,51,0.282317717,P,13020,0,0,0,0,0,0,0,,0,-5.166316995,-4.762831798,7.233345430344343,1.9639511096756905,-0.731763449,-1.882657201,,,,1.268240957302435,0.611111111,0.635856944
2002,ARI,162,98,64,3.925574488808127,584,162,101,14,5,40,58,19,1446.2,6067,1361,674,631,170,421,30,54,48,11,1303,2331,5508,6318,1471,982,283,41,165,819,783,643,58,1016,50,53,62,130,92,46,0.267066085,P,13206,0,0,0,0,0,0,0,,0,0.5388622209429741,-0.721351297,26.626186889247037,-1.051720195,25.391921301488765,3.424748190206548,,,,31.39193063371437,0.604938272,0.596212391
2002,ATL,161,101,59,3.134257668203855,630,161,85,3,2,57,79,14,1467.1,6131,1302,565,511,123,554,63,42,40,4,1058,2319,5495,6224,1428,959,280,25,164,708,669,558,68,1028,54,49,67,147,76,39,0.259872611,P,13056,0,0,0,0,0,0,0,,0,0.3067110404372215,-1.309610175,4.399944536,16.884272419963963,20.281247714534402,2.5953526325588507,,,,19.281296537804618,0.63125,0.610933236
2002,BAL,162,67,95,4.4607061575116616,569,162,75,8,1,31,58,15,1450.2,6258,1491,773,719,208,549,34,54,54,1,967,2217,5491,6096,1353,850,311,27,165,667,636,452,25,993,64,49,40,128,110,48,0.246403205,LF,13014,0,0,0,0,0,0,0,,0,-14.48039023,-1.171537015,2.0548412087373435,0.5636468479642645,-13.03342141,-4.722082824,,,,-7.033393171,0.413580247,0.426785608
2002,BOS,162,93,69,3.7531114886347665,500,162,95,5,3,51,40,17,1446,6049,1339,665,603,146,430,29,84,31,6,1157,2172,5640,6332,1560,1002,348,33,177,859,810,545,39,944,72,53,22,139,80,28,0.276595744,P,12972,0,0,0,0,0,0,0,,0,-10.80750725,4.052558586001396,2.2544191058259457,-5.106935046,-9.607450312,-2.754055411,,,,-10.60742659,0.574074074,0.625266713
2002,CHC,162,67,95,4.302264467422725,552,162,88,11,3,23,32,25,1441.1,6236,1373,759,689,167,606,53,58,44,2,1333,2294,5496,6242,1351,863,259,29,200,706,676,585,52,1269,44,39,78,117,63,21,0.245815138,3B,12807,0,0,0,0,0,0,0,,0,-10.91176083,-0.223985294,4.442029893398285,-5.529256919,-12.22295565,-3.666808694,,,,-14.22298226,0.413580247,0.463869813
2002,CHW,162,81,81,4.572734292582744,585,162,70,7,4,35,60,11,1423,6131,1422,798,723,190,528,31,60,54,6,945,2208,5502,6208,1475,940,289,29,217,856,819,555,17,952,49,53,48,111,75,31,0.268084332,P,13083,0,0,0,0,0,0,0,,0,9.38054088,-2.613301203,-5.493014798,2.429766837041825,3.703953932505101,1.8287200204908918,,,,3.7039461373639573,0.5,0.535023439
2002,CIN,162,78,84,4.290529561966561,624,162,67,2,1,42,67,15,1453.2,6296,1502,774,693,173,550,63,56,52,2,980,2353,5470,6254,1386,899,297,21,169,709,678,583,66,1188,66,40,95,119,116,52,0.253382084,CF,12822,0,0,0,0,0,0,0,,0,-8.6473534,-0.335012477,-28.89162761,1.978625001745968,-35.89535808,-6.166957521,,,,-36.89534402,0.481481481,0.456253965
2002,CLE,162,74,88,4.908520671,583,162,74,9,2,34,51,19,1424.2,6271,1508,837,777,142,603,38,57,52,8,1058,2236,5423,6099,1349,876,255,26,192,739,706,542,35,1000,56,39,39,149,52,37,0.248755301,1B,12840,0,0,0,0,0,0,0,,0,4.338689638,-1.306522012,5.754346015222836,-7.597600924,1.1888705203309655,0.713392663,,,,-6.811124063,0.456790123,0.438056774
2002,COL,162,73,89,5.2107505847914135,668,162,69,1,0,43,78,16,1426.2,6345,1554,898,826,225,582,49,64,42,6,920,2393,5512,6165,1508,1032,283,41,152,778,726,497,40,1043,56,50,49,133,103,53,0.273584905,P,12726,0,0,0,0,0,0,0,,0,8.429796722,0.4068540669977665,-48.12935595,-14.17111132,-53.46378114,-5.306442911,,,,-55.46379291,0.450617284,0.42876613
