Season,Team,TG,W,L,P_ERA,P_G,P_GS,P_QS,P_CG,P_ShO,P_SV,P_HLD,P_BS,P_IP,P_TBF,P_H,P_R,P_ER,P_HR,P_BB,P_IBB,P_HBP,P_WP,P_BK,P_SO,B_G,B_AB,B_PA,B_H,B_1B,B_2B,B_3B,B_HR,B_R,B_RBI,B_BB,B_IBB,B_SO,B_HBP,B_SF,B_SH,B_GDP,B_SB,B_CS,B_AVG,F_Pos,F_Inn,F_rSZ,F_rCERA,F_rSB,F_rGDP,F_rARM,F_rGFP,F_rPM,F_rTS,F_DRS,F_ARM,F_DPR,F_RngR,F_ErrR,F_UZR,F_UZR/150,F_FRM,F_OAA,F_RAA,F_Def,WinP,x,B_K%,B_ISO,B_BABIP,B_AVG,B_OBP,B_SLG,B_wOBA,B_xwOBA,B_wRC+,B_BsR,B_Off,B_Def,B_WAR,P_K/9,P_BB/9,P_HR/9,P_BABIP,P_LOB%,P_GB%,P_HR/FB,P_vFA (pi),P_ERA,P_xERA,P_FIP,P_xFIP,P_WAR,F_G,F_GS,F_Inn,F_PO,F_A,F_E,F_FE,F_TE,F_DP,F_DPS,F_DPT,F_DPF,F_Scp,F_SB,F_CS,F_PB,F_WP,F_FP,F_TZ,RSPG,RAPG
2002,LAA,162,99,63,3.6871727582573204,562,162,94,7,2,54,66,17,1452.1,6097,1345,644,595,169,509,24,49,52,7,999,2307,5678,6327,1603,1086,333,32,152,851,811,462,42,805,74,64,49,105,117,51,0.282317717,P,13020,0,0,0,0,0,0,0,,0,-5.166316995,-4.762831798,7.233345430344343,1.9639511096756905,-0.731763449,-1.882657201,,,,1.268240957302435,0.611111111,0.635856944,0.127232495,0.150228954,0.303239289,0.282317717,0.340713603,0.432546671,0.335925561,,104.79277060695928,12.47376735729631,49.43982293677157,28.543201502412558,29.275232160341865,6.190732076469014,3.1542368637865144,1.0472810019251886,0.26904598490048043,0.7555,0.410210479,0.099470276,,3.6871727582573204,,4.251719482954405,4.367523787,16.11037046648562,2089,1458,13071,4357,1568,87,46,41,356,154,111,152,22,78,51,7,52,0.98552894,12,5.25308642,3.975308642
2002,ARI,162,98,64,3.925574488808127,584,162,101,14,5,40,58,19,1446.2,6067,1361,674,631,170,421,30,54,48,11,1303,2331,5508,6318,1471,982,283,41,165,819,783,643,58,1016,50,53,62,130,92,46,0.267066085,P,13206,0,0,0,0,0,0,0,,0,0.5388622209429741,-0.721351297,26.626186889247037,-1.051720195,25.391921301488765,3.424748190206548,,,,31.39193063371437,0.604938272,0.596212391,0.160810383,0.156136529,0.298173515,0.267066085,0.346018548,0.423202614,0.3354420390550054,,97.11701311,1.765809153468581,-21.04000622,38.55543878581375,22.31456853985363,8.106218001453232,2.6191233911065317,1.0576032695679582,0.2891478514202476,0.7272,0.435823754,0.114787305,,3.925574488808127,,3.6733597442304182,3.5708534117566226,26.359561119694263,2107,1458,13020,4341,1498,89,55,33,274,119,85,117,26,77,43,13,48,0.9849865,2,5.055555556,4.160493827
2002,ATL,161,101,59,3.134257668203855,630,161,85,3,2,57,79,14,1467.1,6131,1302,565,511,123,554,63,42,40,4,1058,2319,5495,6224,1428,959,280,25,164,708,669,558,68,1028,54,49,67,147,76,39,0.259872611,P,13056,0,0,0,0,0,0,0,,0,0.3067110404372215,-1.309610175,4.399944536,16.884272419963963,20.281247714534402,2.5953526325588507,,,,19.281296537804618,0.63125,0.610933236,0.165167095,0.149590537,0.290441176,0.259872611,0.331384015,0.409463148,0.32240456587459976,,93.62668655403884,-7.864046693,-57.79239259,66.38324446,21.115419382780892,6.489324095811504,3.398001464158387,0.7544299279629632,0.27078548461185115,0.7724,0.456906458,0.084944751,,3.134257668203855,,3.8282670268466545,4.112297957078181,19.83888733945787,2107,1449,13206,4402,1815,113,65,46,437,167,131,169,25,96,55,12,40,0.9821485,6,4.397515528,3.50931677
2002,BAL,162,67,95,4.4607061575116616,569,162,75,8,1,31,58,15,1450.2,6258,1491,773,719,208,549,34,54,54,1,967,2217,5491,6096,1353,850,311,27,165,667,636,452,25,993,64,49,40,128,110,48,0.246403205,LF,13014,0,0,0,0,0,0,0,,0,-14.48039023,-1.171537015,2.0548412087373435,0.5636468479642645,-13.03342141,-4.722082824,,,,-7.033393171,0.413580247,0.426785608,0.1628937,0.156619923,0.271109082,0.246403205,0.30861955,0.403023128,0.31050090772203104,,89.89380815190495,-1.205966832,-77.45896662,4.006947250105441,13.334707371995819,5.999308559546281,3.406019027084704,1.2904407242871008,0.2863839285714286,0.7327,0.454722703,0.132484076,,4.4607061575116616,,4.739872388011917,4.382522873112817,8.824108295841143,2004,1458,13056,4352,1717,90,49,41,407,173,123,173,20,103,44,22,54,0.98538724,-1,4.117283951,4.771604938
2002,BOS,162,93,69,3.7531114886347665,500,162,95,5,3,51,40,17,1446,6049,1339,665,603,146,430,29,84,31,6,1157,2172,5640,6332,1560,1002,348,33,177,859,810,545,39,944,72,53,22,139,80,28,0.276595744,P,12972,0,0,0,0,0,0,0,,0,-10.80750725,4.052558586001396,2.2544191058259457,-5.106935046,-9.607450312,-2.754055411,,,,-10.60742659,0.574074074,0.625266713,0.149084017,0.167553192,0.302493438,0.276595744,0.345007923,0.444148936,0.34283878474006657,,107.07964474394478,-0.360458826,54.53394573,-22.75499538,24.667782545435944,7.201243768408665,2.676348159391293,0.9087135610956484,0.2818998109640832,0.7206,0.452204176,0.097074468,,3.7531114886347665,,3.740769450849884,3.8761261817710366,22.61492646392435,1951,1458,13014,4335,1632,104,58,45,332,143,102,140,19,118,50,20,31,0.98286938,6,5.302469136,4.104938272
2002,CHC,162,67,95,4.302264467422725,552,162,88,11,3,23,32,25,1441.1,6236,1373,759,689,167,606,53,58,44,2,1333,2294,5496,6242,1351,863,259,29,200,706,676,585,52,1269,44,39,78,117,63,21,0.245815138,3B,12807,0,0,0,0,0,0,0,,0,-10.91176083,-0.223985294,4.442029893398285,-5.529256919,-12.22295565,-3.666808694,,,,-14.22298226,0.413580247,0.463869813,0.203300224,0.166848617,0.283079193,0.245815138,0.321219987,0.412663755,0.31950642070025986,,93.34082578787927,-6.983841295,-59.21577468,26.52406631410122,17.04216090374019,8.323539238,3.783994582377607,1.0427839855727068,0.2961689587426326,0.7087,0.421527947,0.113682777,,4.302264467422725,,4.000690877399497,3.9132733784587757,17.52669007703662,2097,1458,12972,4325,1494,115,63,51,332,146,108,146,3,112,54,15,44,0.98062016,-1,4.358024691,4.685185185
2002,CHW,162,81,81,4.572734292582744,585,162,70,7,4,35,60,11,1423,6131,1422,798,723,190,528,31,60,54,6,945,2208,5502,6208,1475,940,289,29,217,856,819,555,17,952,49,53,48,111,75,31,0.268084332,P,13083,0,0,0,0,0,0,0,,0,9.38054088,-2.613301203,-5.493014798,2.429766837041825,3.703953932505101,1.8287200204908918,,,,3.7039461373639573,0.5,0.535023439,0.153350515,0.181388586,0.286821705,0.268084332,0.337554797,0.449472918,0.34202581842999163,,105.43981893345037,-1.208014769,40.08583996790257,-28.85676502,22.19022784286168,5.976810382,3.339424213670386,1.2016867435556313,0.279491833,0.695,0.420689655,0.113230035,,4.572734292582744,,4.609294103841069,4.515093195,14.011597248259932,2018,1458,12807,4269,1586,98,50,46,390,160,123,159,16,99,38,9,54,0.98353771,-2,5.283950617,4.925925926
2002,CIN,162,78,84,4.290529561966561,624,162,67,2,1,42,67,15,1453.2,6296,1502,774,693,173,550,63,56,52,2,980,2353,5470,6254,1386,899,297,21,169,709,678,583,66,1188,66,40,95,119,116,52,0.253382084,CF,12822,0,0,0,0,0,0,0,,0,-8.6473534,-0.335012477,-28.89162761,1.978625001745968,-35.89535808,-6.166957521,,,,-36.89534402,0.481481481,0.456253965,0.189958426,0.154661791,0.293041175,0.253382084,0.33041078,0.408043875,0.3220458935090871,,90.51657794200767,1.1779191883397289,-73.94549112,36.414415784180164,16.596857468216385,6.067415542174935,3.405182192036953,1.0710845804043507,0.29292484020277715,0.715,0.458424507,0.114797611,,4.290529561966561,,4.411507859445783,4.307565310177077,11.315049014054239,2154,1458,13083,4360,1764,120,74,46,392,177,120,173,19,67,42,28,52,0.98078155,0,4.37654321,4.777777778
2002,CLE,162,74,88,4.908520671,583,162,74,9,2,34,51,19,1424.2,6271,1508,837,777,142,603,38,57,52,8,1058,2236,5423,6099,1349,876,255,26,192,739,706,542,35,1000,56,39,39,149,52,37,0.248755301,1B,12840,0,0,0,0,0,0,0,,0,4.338689638,-1.306522012,5.754346015222836,-7.597600924,1.1888705203309655,0.713392663,,,,-6.811124063,0.456790123,0.438056774,0.163961305,0.162825005,0.270960187,0.248755301,0.321287128,0.411580306,0.32016375881013037,,94.54361494027663,-12.30760826,-53.63915277,-51.44378549,10.179051006454968,6.683674221344021,3.809315269820836,0.8970526837720708,0.3096803445930628,0.6759,0.453994614,0.097193702,,4.908520671,,4.1623514621251525,4.294217748980567,15.317017593682976,2036,1458,12822,4273,1654,112,58,53,379,165,125,163,23,126,59,15,52,0.98145388,-1,4.561728395,5.166666667
2002,COL,162,73,89,5.2107505847914135,668,162,69,1,0,43,78,16,1426.2,6345,1554,898,826,225,582,49,64,42,6,920,2393,5512,6165,1508,1032,283,41,152,778,726,497,40,1043,56,50,49,133,103,53,0.273584905,P,12726,0,0,0,0,0,0,0,,0,8.429796722,0.4068540669977665,-48.12935595,-14.17111132,-53.46378114,-5.306442911,,,,-55.46379291,0.450617284,0.42876613,0.169180859,0.148947751,0.310510648,0.273584905,0.337040065,0.422532656,0.3310245200832194,,82.1549426,-0.358019317,-138.4243749,26.07764697,8.81915567,5.803741571438378,3.671497385,1.4193933191017771,0.29183135704874835,0.6907,0.435601198,0.138888888,,5.2107505847914135,,5.080996123701363,4.611516914323766,6.507668668986298,2180,1458,12840,4278,1689,112,69,41,379,157,117,159,21,87,23,12,42,0.98157592,-8,4.802469136,5.543209877
