Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2018,"HOU",162,103,59,3.111340719392349,672,162,97,3,2,46,105,21,1455,5913,1164,534,503,152,435,4,66,67,4,1687
2019,"HOU",162,107,55,3.66195735147548,654,162,89,2,1,47,97,20,1462.1,5995,1205,640,595,230,448,0,41,41,8,1671
2018,"NYY",162,100,62,3.7759223939624422,670,162,67,2,2,49,76,17,1456.1,6141,1311,669,611,177,494,9,58,73,4,1634
2019,"BOS",162,84,78,4.6988490941637515,794,162,55,1,1,33,82,28,1471,6399,1423,828,768,215,605,22,76,81,6,1633
2019,"TBR",162,96,66,3.674881534323301,765,162,53,0,0,46,116,24,1474.1,6086,1274,656,602,181,453,27,60,59,7,1621
2021,"MIL",162,95,67,3.4972159306222634,695,162,70,2,1,44,77,27,1436,5989,1156,623,558,168,537,19,77,60,9,1618
2017,"CLE",162,102,60,3.304718569357545,659,162,84,7,3,37,87,10,1440.2,5866,1267,564,529,163,406,15,45,48,1,1614
2021,"LAD",162,106,56,3.0309894921424942,762,162,74,1,0,56,103,26,1452,5948,1107,561,489,161,486,43,63,52,9,1599
2017,"HOU",162,101,61,4.120329720868118,681,162,67,1,0,45,91,21,1446,6111,1314,700,662,192,522,17,70,86,4,1593
2021,"CHW",162,93,69,3.7261267074418676,674,162,57,4,3,43,86,25,1403.1,5861,1205,636,581,182,485,16,51,84,6,1588
2017,"BOS",162,93,69,3.733979745448929,677,162,88,5,1,39,83,18,1482.1,6217,1384,668,615,195,465,18,49,43,3,1580
2021,"NYY",162,92,70,3.7621947928651363,674,162,51,3,2,47,80,26,1435.1,5999,1243,669,600,196,492,10,56,85,8,1569
2018,"LAD",163,92,71,3.396342559335485,756,163,79,0,0,48,89,26,1476,6096,1279,610,557,179,422,39,61,39,10,1565
2022,"NYM",162,101,61,3.5845698474677747,645,162,72,0,0,41,76,15,1438.2,5950,1274,606,573,169,428,13,71,35,2,1565
2017,"NYY",162,91,71,3.746205701846793,639,162,75,2,1,36,70,23,1448.2,6078,1248,660,603,192,504,18,53,83,4,1560
2018,"BOS",162,108,54,3.751372947706484,697,162,67,2,0,46,106,20,1458.2,6166,1305,647,608,176,512,8,84,51,3,1558
2022,"ATL",162,101,61,3.4558026707477003,680,162,69,1,1,55,114,28,1448,6031,1224,609,556,148,500,21,62,55,4,1554
2019,"CIN",162,75,87,4.180805905131178,697,162,65,0,0,46,85,23,1438,6057,1270,711,668,214,536,31,58,35,8,1552
2017,"LAD",162,104,58,3.382786197846907,698,162,68,2,0,51,97,16,1444.2,5925,1226,580,543,184,442,33,40,40,10,1549
2018,"CLE",162,91,71,3.773330322102286,670,162,98,5,2,41,76,17,1457.1,6071,1349,648,611,200,407,29,59,54,2,1544
