Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,RAA,Def,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,WinP
2023,NYY,162,2321,5973,219,673,650,100,0.093252971,0.238908421,0.1705805,0.266092108,0.226751831,0.303706188,0.397332331,0.3044883006755999,,94.24732134496676,-15.07179043,-56.24318323,0.23932386189699173,14.651948228972369,P,12957,16.23607700993307,1,0,-2,-1,-10,4,17,27,-0.875607928,-2.495384656,-7.478399638,0.16199035802856088,-10.68740012,-1.936149691,20.04499975219369,4,2,3.563498828,162,82,80,44,665,162,1439.2,8.995833540184696,3.175735537466175,1.2190323421376066,0.2796676188003116,0.733,0.436191425,0.129482071,95.03274401567303,3.969669421832719,,4.252493126710968,4.221200803945018,13.381223340635188,0.50617284
2022,NYY,162,2342,6172,254,807,764,102,0.100453661,0.22537265,0.184987089,0.276060764,0.241239395,0.324719648,0.426226484,0.3271562524513811,,116.32768738960591,-5.712082519,107.58837599158534,41.482058100402355,36.293861024688134,P,13065,19.59269003412919,1,5,-2,7,8,62,25,129,15.054457960650325,-2.498755977,11.224367594346404,6.945896787463425,30.725967463105917,6.997676206540181,24.45999974478036,23,18,44.80836306802247,162,99,63,47,669,162,1451.2,9.045464136415514,2.7526977906569488,0.9733638584079751,0.2675059008654603,0.7632,0.440966921,0.107460643,95.13771191239782,3.3044773027480936,,3.5601909617042002,3.644113736881356,19.599261326133274,0.611111111
2021,NYY,162,2354,6060,222,711,666,63,0.102475247,0.244554455,0.169386606,0.285167986,0.237478897,0.322367333,0.406865503,0.31715570352446865,,102.73139942127415,-15.14394603,4.895006861226825,-37.12506239,17.61413856928922,P,12918,2.1616720074089244,-3,-2,2,4,-6,-46,17,-41,-4.467985605,-0.276762942,-0.781964887,1.7355361951631494,-3.791177949,-1.404604883,3.0200000554323196,-22,-18,-31.98923023,162,92,70,47,674,162,1435.1,9.838139383,3.0849997301494114,1.2289836323359444,0.2840477482365708,0.7398,0.418550272,0.128777923,94.87544206,3.7621947928651363,,3.9043549951178953,4.000051236321882,21.610068069770932,0.567901235
2020,NYY,60,878,2210,94,315,301,27,0.11357466,0.21719457,0.2,0.280325443,0.246997389,0.341640235,0.446997389,0.3405719918353681,,116.8511983316688,5.977044706465676,51.85515917123418,-7.13807935,10.088518322929946,P,4506,0.3944970347074559,-2,3,-3,4,-3,-7,9,-2,4.302199279889464,-1.074086692,-8.601805004,0.6036361501173815,-4.770054989,0.9342957968679577,0.4399999864399433,-9,-7,-2.566471097,60,33,27,14,234,60,500.2,9.491343195150073,3.0199728348204777,1.4920103886315457,0.2799097065462754,0.7108,0.429184549,0.159922928,94.35300404,4.350198964443783,,4.393816383816779,4.237576320250585,5.626256004907191,0.55
2019,NYY,162,2312,6245,306,943,904,55,0.09111289,0.230104083,0.222461042,0.306480764,0.26741895,0.338626884,0.489879992,0.34639193173234223,,116.77637594780852,-0.800738739,132.52447391924798,-42.64449077,30.66292750983087,P,12987,0.3416279926896095,-1,2,-2,2,4,-22,5,-18,-0.22770736,1.6055671777576208,1.587642952799797,-0.239460551,2.7260288652032614,0.4851347722408331,-5.259999952,-37,-27,-26.40500097,162,103,59,50,707,162,1443,9.567568438980386,3.1621624501714836,1.546777687657846,0.2963157894736842,0.7517,0.424302788,0.167567567,93.88210730911752,4.309771702304724,,4.4676483203646296,4.273627414940321,17.91443651774898,0.635802469
2018,NYY,162,2269,6271,267,851,821,63,0.099665125,0.226598628,0.202357208,0.284868759,0.249138712,0.329180642,0.45149592,0.33525504800371636,,111.8121929,14.635278032626957,102.78095283265436,-27.28537493,29.662652842262204,P,13107,15.297832049429417,3,0,-6,6,-2,5,17,30,13.13593508861959,-6.837096527,-4.280098441,-1.92679397,0.092010278,1.663460106196944,10.020000118762255,-38,-29,-24.55323314,162,100,62,49,670,162,1456.1,10.097965943919199,3.0528734249058043,1.093843312162606,0.30015881418740076,0.7392,0.429410262,0.128727272,95.0690619,3.7759223939624422,,3.6335362608192496,3.612912656377141,24.46287707053125,0.617283951
2017,NYY,162,2294,6354,241,858,821,90,0.096946805,0.218130311,0.185019664,0.303753417,0.26153021,0.338546603,0.446549874,0.3355148511648783,,109.11565058496919,11.063206304097548,82.34961512939446,-5.792699767,28.752342494910724,P,13038,5.438218089751899,0,0,-10,2,-4,28,9,26,-1.830437731,-6.225617986,16.300634519953746,0.2125797807238996,8.457142239436507,0.2488794092474702,0.47999993804842234,19,17,9.116967399250925,162,91,71,36,639,162,1448.2,9.691676442588719,3.1311570045286627,1.1928217160109191,0.28018041920933934,0.7453,0.46195097,0.141906873,95.27649892,3.746205701846793,,3.8803741621756975,3.818745362455644,23.370467230677605,0.561728395
2016,NYY,162,2308,6058,183,680,647,72,0.078408715,0.196104324,0.152803224,0.288684719,0.252290216,0.31440903,0.40509344,0.3106847022097871,,91.76119863574966,10.58395062200725,-49.70657706,-11.92639198,14.820713775086052,P,12855,2.9223510827869177,0,-4,-7,3,-1,9,18,14,5.766033678431995,-5.748943299,8.892055959440768,3.7209035548730753,12.630053775268607,2.3384210345894365,-0.049999986,9,8,2.0035464354315935,162,84,78,48,645,162,1428.1,8.777357934859838,2.797664697,1.3484239756353233,0.2922094508301405,0.742,0.469317623,0.155072463,95.33531055816923,4.164991812593218,,4.1960442391486685,3.857556653072325,18.661841716384515,0.518518519
2015,NYY,162,2401,6268,212,764,737,63,0.088385449,0.195756222,0.169929944,0.283357245,0.250943057,0.32285989,0.420873001,0.32296840725459114,,103.13782235039949,2.9798245318233967,25.254319667196782,-35.30089839,20.673601039903037,P,13119,-1.707973942,-1,0,-1,-8,-4,-23,7,-32,-12.39432512,-0.936039774,-7.156186124,0.8059498007933144,-19.68059468,-4.650711188,-0.38499999,,,-15.68062926,162,87,75,48,659,162,1457.2,8.458727526012025,2.926596238926788,1.1237141676891886,0.3003163786809443,0.7379,0.469725638,0.13592233,94.56530052299632,4.031787645610112,,3.967810222332418,3.7002048941144943,18.416816597047728,0.537037037
2014,NYY,162,2288,6082,147,633,591,112,0.074317658,0.186287405,0.134618883,0.281894934,0.245406585,0.306840713,0.380025468,0.305242422,,93.79714457,3.238689881,-38.46068174,11.745382860302925,18.07945331475622,2B,13077,14.295641989912838,1,0,-4,-4,-4,-7,13,7,-1.29092998,-6.613133751,16.252424594480544,-6.331664067,2.016676387283951,-0.784116071,20.07000008225441,,,9.169115256144675,162,84,78,48,637,162,1453,8.485893698819165,2.465245030751845,1.0158296106615643,0.2982754432839446,0.7327,0.436920883,0.11333794,93.37309913,3.747420210062478,,3.669758780291084,3.4333040459615507,17.517594381410163,0.518518519
